activating emitter
43.5163 42.8302 42.1269 
43.5849 42.8988 42.3156 
44.0309 43.036 42.3156 
43.3448 42.6415 42.3842 
42.9674 41.9554 41.235 
42.7616 42.1269 41.3894 
43.7221 42.9331 42.3328 
43.4648 42.8302 42.5729 
42.3842 41.7667 41.1321 
43.1218 42.5386 41.904 
43.1046 42.4871 41.8353 
43.1218 42.47 41.801 
42.916 42.1784 41.458 
43.1218 42.4357 42.1612 
41.2007 40.1544 39.3825 
41.7839 40.7376 40.4117 
42.916 41.9211 41.2007 
42.7959 41.7153 41.0463 
43.0875 43.9451 42.1784 
42.6587 41.904 41.3551 
43.0189 42.3842 41.7667 
43.2762 42.6587 41.9554 
43.928 43.3105 42.6758 
43.8079 42.7273 42.0755 
42.5386 41.8696 41.1835 
42.2985 41.5952 41.0292 
42.5901 41.6638 40.9263 
42.0926 41.458 41.235 
42.5901 41.5781 41.0292 
41.801 41.1492 40.3945 
42.2813 41.6981 41.2522 
42.6587 41.7153 4.92282 
27.4271 26.8268 26.1407 
42.2299 41.5266 40.9091 
41.9554 41.2007 2.59006 
30.8062 29.6913 29.5026 
41.7324 41.0806 40.3945 
42.5901 40.9263 40.566 
41.8353 40.7719 40.1201 
42.1441 41.4923 40.8233 
42.1784 41.4237 40.8405 
42.6072 41.5952 40.9263 
41.4408 40.3774 39.6398 
41.1321 40.1029 39.434 
41.5266 40.4117 39.7942 
42.916 41.8525 41.1492 
42.1441 41.4408 40.8405 
41.5781 40.8919 40.2573 
42.3156 41.2007 40.4117 
42.2813 41.2522 40.7719 
41.2522 40.223 39.4854 
41.9383 40.8405 40.1544 
42.0583 41.0463 40.4288 
41.5781 40.566 39.8456 
42.3328 41.7153 40.9777 
42.3842 41.7496 41.0978 
42.8302 41.801 41.1492 
42.5558 41.4923 40.7719 
43.6707 42.5901 42.0069 
42.0755 41.3722 40.6518 
43.3105 42.7444 42.0069 
43.0532 42.4871 42.1612 
41.4751 40.4803 39.777 
42.9503 42.2642 41.235 
43.6707 42.5386 41.904 
42.1784 41.1149 40.8576 
42.4528 41.4408 40.7719 
41.7839 41.1492 40.4631 
41.5781 40.9434 40.3774 
41.6295 40.9263 40.3259 
44.5283 40.566 39.8113 
32.0926 31.0635 30.8919 
41.5094 40.4803 39.7427 
41.8696 40.7719 40.1544 
39.5712 38.5592 3.56776 
28.542 27.8902 27.1355 
41.7496 40.7204 40.3602 
42.0755 41.0635 40.3088 
42.1612 41.1835 40.5317 
41.8353 40.8919 40.1887 
41.7839 40.6175 39.9829 
42.1612 41.1492 40.3602 
42.4014 41.4065 40.7204 
42.3499 41.2522 40.566 
41.9726 40.9263 40.2573 
42.2299 41.1321 40.5146 
42.5901 41.5952 40.8233 
